Designator,Mid X,Mid Y,Rotation,Layer
C1,166.8,-78.2,90.0,top
C10,168.4,-80.2,0.0,top
C11,168.4,-81.12,0.0,top
C12,168.44,-84.38,0.0,top
C13,161.2,-64.2,0.0,top
C14,161.6,-66.6,90.0,top
C15,158.58,-91.58,270.0,top
C16,163.84,-91.59,90.0,top
C17,161.6,-73.6,180.0,top
C18,169.0,-64.6,0.0,top
C2,167.8,-78.8,90.0,top
C3,163.82,-89.6,270.0,top
C4,168.77,-78.76,90.0,top
C5,165.8,-78.2,90.0,top
C6,164.8,-89.6,270.0,top
C7,167.8,-89.6,270.0,top
C8,166.79,-89.61,270.0,top
C9,165.8,-89.6,270.0,top
D1,168.0,-74.4,270.0,top
J1,163.1,-56.5,180.0,top
J2,154.21,-79.7,0.0,top
J3,171.99,-79.7,0.0,top
J4,163.1,-103.59,90.0,top
Q1,166.4,-64.6,0.0,top
R1,160.78,-62.31,180.0,top
R10,169.0,-77.0,180.0,top
R2,165.0,-62.4,0.0,top
R3,164.8,-78.2,270.0,top
R4,163.8,-78.2,270.0,top
R5,162.34,-89.32,0.0,top
R6,158.29,-73.8,270.0,top
R7,157.29,-73.8,270.0,top
R8,168.6,-63.0,270.0,top
R9,168.4,-66.0,270.0,top
SW1,160.2,-71.15,180.0,top
U1,163.1,-83.7,90.0,top
U2,159.0,-66.2,270.0,top
U3,160.6,-75.15,270.0,top
Y1,161.2,-91.6,180.0,top
